対象年,対象月,提供先コード,提供先名,商品コード,商品名,バリエーション,加工区分,登録担当,登録価格,供給ルート
2026,7,C001,提供先1,ITEM-001,サンプル商品001,,,担当2,526.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-002,サンプル商品002,,,担当3,543.0,ROUTE-X
2026,7,C001,提供先1,ITEM-003,サンプル商品003,,,担当4,560.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-004,サンプル商品004,,,担当1,577.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-005,サンプル商品005,,,担当2,640.0,ROUTE-X
2026,7,C001,提供先1,ITEM-006,サンプル商品006,,,担当3,611.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-007,サンプル商品007,,,担当4,628.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-008,サンプル商品008,,,担当1,645.0,ROUTE-X
2026,7,C001,提供先1,ITEM-009,サンプル商品009,,,担当2,662.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-010,サンプル商品010,,,担当3,679.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-011,サンプル商品011,,,担当4,696.0,ROUTE-X
2026,7,C001,提供先1,ITEM-012,サンプル商品012,,,担当1,713.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-013,サンプル商品013,,,担当2,730.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-014,サンプル商品014,,,担当3,747.0,ROUTE-X
2026,7,C001,提供先1,ITEM-015,サンプル商品015,,,担当4,764.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-016,サンプル商品016,,,担当1,781.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-017,サンプル商品017,,,担当2,798.0,ROUTE-X
2026,7,C001,提供先1,ITEM-018,サンプル商品018,,,担当3,815.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-019,サンプル商品019,,,担当4,832.0,ROUTE-Z
2026,7,C001,提供先1,ITEM-020,サンプル商品020,,,担当1,849.0,ROUTE-X
2026,7,C002,提供先2,ITEM-001,サンプル商品001,,,担当2,535.0,ROUTE-X
2026,7,C002,提供先2,ITEM-002,サンプル商品002,,,担当3,552.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-003,サンプル商品003,,,担当4,569.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-004,サンプル商品004,,,担当1,586.0,ROUTE-X
2026,7,C002,提供先2,ITEM-005,サンプル商品005,,,担当2,603.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-006,サンプル商品006,,,担当3,620.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-007,サンプル商品007,,,担当4,637.0,ROUTE-X
2026,7,C002,提供先2,ITEM-008,サンプル商品008,,,担当1,654.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-009,サンプル商品009,,,担当2,671.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-010,サンプル商品010,,,担当3,688.0,ROUTE-X
2026,7,C002,提供先2,ITEM-011,サンプル商品011,,,担当4,705.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-012,サンプル商品012,,,担当1,722.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-013,サンプル商品013,,,担当2,739.0,ROUTE-X
2026,7,C002,提供先2,ITEM-014,サンプル商品014,,,担当3,756.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-015,サンプル商品015,,,担当4,773.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-016,サンプル商品016,,,担当1,790.0,ROUTE-X
2026,7,C002,提供先2,ITEM-017,サンプル商品017,,,担当2,807.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-018,サンプル商品018,,,担当3,824.0,ROUTE-Z
2026,7,C002,提供先2,ITEM-019,サンプル商品019,,,担当4,841.0,ROUTE-X
2026,7,C002,提供先2,ITEM-020,サンプル商品020,,,担当1,858.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-001,サンプル商品001,,,担当2,544.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-002,サンプル商品002,,,担当3,561.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-003,サンプル商品003,,,担当4,578.0,ROUTE-X
2026,7,C003,提供先3,ITEM-004,サンプル商品004,,,担当1,595.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-005,サンプル商品005,,,担当2,612.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-006,サンプル商品006,,,担当3,629.0,ROUTE-X
2026,7,C003,提供先3,ITEM-007,サンプル商品007,,,担当4,646.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-008,サンプル商品008,,,担当1,663.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-009,サンプル商品009,,,担当2,680.0,ROUTE-X
2026,7,C003,提供先3,ITEM-010,サンプル商品010,,,担当3,697.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-011,サンプル商品011,,,担当4,714.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-012,サンプル商品012,,,担当1,731.0,ROUTE-X
2026,7,C003,提供先3,ITEM-013,サンプル商品013,,,担当2,748.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-014,サンプル商品014,,,担当3,765.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-015,サンプル商品015,,,担当4,782.0,ROUTE-X
2026,7,C003,提供先3,ITEM-016,サンプル商品016,,,担当1,799.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-017,サンプル商品017,,,担当2,816.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-018,サンプル商品018,,,担当3,833.0,ROUTE-X
2026,7,C003,提供先3,ITEM-019,サンプル商品019,,,担当4,850.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-020,サンプル商品020,,,担当1,867.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-001,サンプル商品001,,,担当2,553.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-002,サンプル商品002,,,担当3,570.0,ROUTE-X
2026,7,C004,提供先4,ITEM-003,サンプル商品003,,,担当4,587.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-004,サンプル商品004,,,担当1,604.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-005,サンプル商品005,,,担当2,621.0,ROUTE-X
2026,7,C004,提供先4,ITEM-006,サンプル商品006,,,担当3,638.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-007,サンプル商品007,,,担当4,655.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-008,サンプル商品008,,,担当1,672.0,ROUTE-X
2026,7,C004,提供先4,ITEM-009,サンプル商品009,,,担当2,689.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-010,サンプル商品010,,,担当3,706.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-011,サンプル商品011,,,担当4,723.0,ROUTE-X
2026,7,C004,提供先4,ITEM-012,サンプル商品012,,,担当1,740.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-013,サンプル商品013,,,担当2,757.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-014,サンプル商品014,,,担当3,774.0,ROUTE-X
2026,7,C004,提供先4,ITEM-015,サンプル商品015,,,担当4,791.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-016,サンプル商品016,,,担当1,808.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-017,サンプル商品017,,,担当2,825.0,ROUTE-X
2026,7,C004,提供先4,ITEM-018,サンプル商品018,,,担当3,842.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-019,サンプル商品019,,,担当4,859.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-020,サンプル商品020,,,担当1,910.0,ROUTE-X
2026,7,C005,提供先5,ITEM-001,サンプル商品001,,,担当2,562.0,
2026,7,C005,提供先5,ITEM-002,サンプル商品002,,,担当3,579.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-003,サンプル商品003,,,担当4,596.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-004,サンプル商品004,,,担当1,613.0,ROUTE-X
2026,7,C005,提供先5,ITEM-005,サンプル商品005,,,担当2,630.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-006,サンプル商品006,,,担当3,647.0,ROUTE-Z
